"You request for product %1 was accepted!","Ваш запит на товар %1 прийнято!"
"Participate in the program","Участь у програмі"
"Discount Request","Запит на знижку"
"Name","Ім'я"
"Email","Електронна пошта"
"Request a Discount","Замовити знижку"
"Success","Успіх"
"Error","Помилка"
"Your request can't be sent. Please, contact us if you see this message.","Ваш запит не може бути відправлений. Будь ласка, зв'яжіться з нами, якщо побачите це повідомлення."
"Loyalty program for Regular Customers","Програма лояльності для постійних клієнтів"
